id_articulo,id_especialidad_topico
00019,00015
00019,00008
00019,00005
00020,00006
00020,00018
00020,00004
00021,00011
00022,00018
00022,00010
00023,00006
00024,00005
00024,00004
00024,00015
00025,00011
00025,00014
00026,00013
00026,00004
00027,00012
00027,00015
00028,00009
00028,00010
00028,00017
00029,00004
00030,00012
00031,00004
00031,00013
00032,00015
00033,00014
00033,00007
00034,00017
00034,00015
00034,00005
00035,00002
00035,00006
00035,00003
00036,00002
00036,00017
00037,00005
00038,00001
00038,00011
00039,00006
00039,00016
00040,00016
00040,00002
00041,00018
00042,00003
00042,00009
00043,00016
00043,00001
00044,00017
00044,00002
00044,00013
00045,00010
00046,00012
00046,00018
00047,00009
00047,00005
00047,00001
00048,00013
00049,00016
00049,00004
00049,00005
00050,00013
00050,00008
00050,00002
00051,00007
00052,00010
00052,00002
00053,00014
00054,00009
00054,00017
00054,00011
00055,00007
00055,00016
00056,00012
00056,00009
00057,00012
00057,00008
00058,00005
00058,00004
00058,00006
00059,00009
00060,00003
00060,00008
00061,00016
00062,00012
00062,00007
00063,00015
00063,00012
00064,00018
00064,00010
00065,00014
00065,00015
00065,00018
00066,00009
00066,00008
00067,00010
00068,00010
00068,00014
00069,00010
00070,00002
00071,00003
00071,00016
00072,00016
00073,00008
00073,00004
00074,00012
00074,00016
00074,00004
00075,00007
00076,00011
00076,00002
00077,00014
00077,00004
00077,00009
00078,00007
00078,00010
00079,00003
00080,00002
00080,00001
00081,00015
00081,00016
00081,00012
00082,00014
00082,00012
00083,00009
00083,00003
00084,00018
00085,00008
00086,00004
00086,00018
00086,00003
00087,00013
00087,00015
00087,00002
00088,00018
00088,00017
00089,00003
00089,00007
00089,00005
00090,00001
00090,00002
00090,00008
00091,00016
00092,00010
00092,00007
00092,00011
00093,00002
00093,00004
00094,00007
00095,00012
00096,00008
00097,00008
00097,00015
00097,00003
00098,00010
00098,00007
00098,00008
00099,00003
00099,00009
00099,00018
00100,00009
00100,00012
00100,00001
00101,00004
00101,00012
00102,00004
00103,00013
00103,00006
00104,00015
00104,00013
00105,00013
00105,00003
00105,00005
00106,00012
00106,00005
00107,00009
00107,00002
00108,00010
00108,00004
00109,00013
00109,00012
00110,00017
00111,00017
00111,00016
00111,00010
00112,00005
00112,00017
00112,00018
00113,00015
00113,00007
00113,00010
00114,00015
00114,00009
00115,00014
00115,00005
00115,00004
00116,00011
00117,00008
00117,00002
00117,00010
00118,00017
00119,00002
00119,00014
00120,00008
00120,00003
00121,00012
00121,00014
00121,00008
00122,00012
00123,00012
00123,00008
00123,00011
00124,00013
00124,00011
00124,00017
00125,00011
00126,00005
00127,00005
00128,00015
00128,00002
00128,00017
00129,00017
00130,00012
00131,00005
00131,00014
00131,00001
00132,00013
00132,00002
00132,00010
00133,00009
00133,00017
00134,00014
00135,00006
00136,00009
00137,00008
00138,00009
00138,00004
00138,00016
00139,00016
00140,00003
00140,00017
00140,00018
00141,00005
00141,00012
00142,00009
00143,00010
00143,00009
00144,00014
00144,00002
00144,00017
00145,00008
00145,00009
00146,00006
00146,00010
00146,00014
00147,00007
00147,00004
00148,00009
00148,00003
00148,00004
00149,00012
00150,00009
00150,00008
00150,00001
00151,00001
00151,00012
00152,00013
00152,00014
00153,00001
00153,00010
00154,00010
00155,00008
00155,00018
00156,00004
00157,00008
00158,00007
00158,00003
00159,00004
00159,00016
00160,00007
00161,00005
00161,00012
00162,00017
00162,00006
00163,00012
00163,00013
00164,00008
00165,00005
00166,00013
00167,00011
00168,00006
00168,00002
00169,00018
00169,00015
00170,00011
00170,00013
00170,00010
00171,00004
00171,00001
00172,00003
