id_articulo,id_especialidad_topico
00019,00007
00019,00008
00020,00015
00021,00010
00021,00003
00021,00007
00022,00010
00022,00017
00023,00011
00024,00005
00024,00006
00024,00011
00025,00009
00025,00015
00026,00002
00027,00018
00027,00014
00027,00010
00028,00017
00029,00008
00029,00016
00029,00005
00030,00004
00031,00010
00032,00013
00033,00012
00034,00008
00034,00001
00035,00017
00035,00003
00036,00011
00036,00009
00036,00015
00037,00015
00037,00005
00037,00007
00038,00016
00038,00006
00038,00013
00039,00008
00039,00018
00039,00006
00040,00002
00040,00017
00041,00015
00041,00007
00041,00002
00042,00003
00042,00012
00043,00011
00043,00004
00044,00017
00044,00009
00044,00007
00045,00013
00045,00003
00045,00010
00046,00015
00047,00013
00047,00011
00047,00008
00048,00014
00048,00002
00048,00016
00049,00004
00050,00008
00051,00008
00051,00017
00051,00002
00052,00007
00053,00018
00054,00003
00054,00002
00054,00006
00055,00002
00055,00009
00056,00002
00056,00008
00056,00003
00057,00002
00057,00008
00058,00016
00059,00014
00060,00008
00060,00003
00060,00011
00061,00004
00061,00010
00062,00015
00062,00011
00063,00017
00064,00017
00064,00012
00065,00016
00065,00006
00066,00017
00067,00002
00067,00008
00067,00012
00068,00006
00068,00014
00068,00005
00069,00013
00069,00001
00070,00010
00070,00009
00071,00002
00072,00017
00072,00001
00072,00012
00073,00001
00074,00017
00075,00016
00076,00017
00077,00018
00078,00011
00078,00009
00079,00001
00079,00009
00080,00017
00080,00006
00080,00013
00081,00017
00081,00008
00081,00001
00082,00014
00082,00011
00082,00012
00083,00012
00083,00006
00084,00010
00085,00002
00086,00007
00086,00014
00086,00016
00087,00016
00087,00012
00088,00006
00089,00010
00090,00007
00091,00002
00091,00012
00092,00010
00093,00013
00093,00009
00093,00015
00094,00007
00094,00006
00094,00001
00095,00007
00095,00009
00096,00014
00097,00015
00097,00007
00097,00017
00098,00006
00099,00006
00100,00015
00100,00004
00101,00008
00101,00010
00102,00016
00102,00018
00103,00012
00103,00007
00104,00006
00104,00010
00105,00007
00105,00009
00106,00007
00106,00017
00106,00010
00107,00011
00108,00002
00108,00010
00109,00006
00110,00016
00111,00014
00111,00006
00112,00008
00112,00018
00112,00013
00113,00015
00113,00008
00113,00002
00114,00010
00115,00015
00116,00017
00116,00012
00116,00004
00117,00007
00118,00017
00118,00004
00119,00003
00119,00018
00120,00006
00121,00013
00122,00016
00123,00003
00123,00017
00123,00006
00124,00010
00125,00008
00125,00007
00126,00002
00126,00005
00127,00013
00127,00002
00127,00007
00128,00011
00128,00007
00129,00007
00129,00004
00129,00011
00130,00006
00130,00004
00131,00018
00131,00016
00131,00005
00132,00006
00132,00018
00132,00004
00133,00005
00134,00009
00135,00016
00135,00004
00135,00003
00136,00014
00137,00009
00137,00006
00138,00013
00138,00009
00138,00007
00139,00010
00140,00010
00140,00013
00140,00012
00141,00002
00141,00012
00141,00011
00142,00009
00142,00005
00143,00002
00144,00001
00144,00017
00144,00016
00145,00008
00145,00011
00146,00007
00147,00006
00148,00015
00148,00013
00148,00017
00149,00006
00149,00001
00149,00008
00150,00004
00150,00017
00151,00006
00151,00011
00152,00014
00152,00005
00152,00004
00153,00013
00154,00017
00154,00007
00155,00007
00155,00002
00156,00002
00156,00018
00156,00008
00157,00006
00157,00002
00157,00001
00158,00016
00159,00004
00160,00006
00160,00005
00160,00009
00161,00011
00161,00007
00162,00002
00162,00003
00163,00007
00164,00010
00164,00008
00164,00005
00165,00007
00165,00004
00166,00003
00166,00010
00166,00001
00167,00011
00167,00004
00168,00015
00169,00007
00170,00018
00170,00007
00171,00013
00172,00013
00172,00002
00173,00012
00173,00010
00173,00018
00174,00018
00174,00001
00175,00011
00176,00013
00176,00002
00176,00011
00177,00001
00177,00003
00178,00011
00179,00006
00180,00017
00180,00003
00181,00008
00181,00006
00181,00011
00182,00018
00182,00010
00183,00013
00183,00002
00183,00010
00184,00002
00184,00005
00184,00009
00185,00015
00186,00003
00186,00009
00187,00015
00188,00014
00188,00010
00189,00015
00189,00002
00189,00012
00190,00004
00191,00013
00191,00004
00191,00015
00192,00008
00193,00008
00193,00015
00194,00006
00195,00017
00195,00009
00196,00002
00196,00012
00196,00009
00197,00004
00197,00006
00197,00015
00198,00012
00198,00013
00198,00010
00199,00016
00199,00008
00200,00011
00200,00014
00200,00003
00201,00015
00202,00001
00202,00007
00202,00004
00203,00007
