id_especialidad_topico,tipo,descripcion
1,Inteligencia Artificial,Especialidad o tópico relacionado con Inteligencia Artificial.
2,Bases de Datos,Especialidad o tópico relacionado con Bases de Datos.
3,Redes de Computadores,Especialidad o tópico relacionado con Redes de Computadores.
4,Ciberseguridad,Especialidad o tópico relacionado con Ciberseguridad.
5,Computación Gráfica,Especialidad o tópico relacionado con Computación Gráfica.
6,Algoritmos y Estructuras de Datos,Especialidad o tópico relacionado con Algoritmos y Estructuras de Datos.
7,Ingeniería de Software,Especialidad o tópico relacionado con Ingeniería de Software.
8,Big Data,Especialidad o tópico relacionado con Big Data.
9,Desarrollo Web Full-Stack,Especialidad o tópico relacionado con Desarrollo Web Full-Stack.
10,Computación en la Nube,Especialidad o tópico relacionado con Computación en la Nube.
11,Sistemas Operativos,Especialidad o tópico relacionado con Sistemas Operativos.
12,Teoría de la Computación,Especialidad o tópico relacionado con Teoría de la Computación.
13,Aprendizaje Automático,Especialidad o tópico relacionado con Aprendizaje Automático.
14,Visión por Computador,Especialidad o tópico relacionado con Visión por Computador.
15,Procesamiento de Lenguaje Natural,Especialidad o tópico relacionado con Procesamiento de Lenguaje Natural.
16,Blockchain,Especialidad o tópico relacionado con Blockchain.
17,Internet de las Cosas,Especialidad o tópico relacionado con Internet de las Cosas.
18,Realidad Virtual y Aumentada,Especialidad o tópico relacionado con Realidad Virtual y Aumentada.
