id_articulo,id_especialidad_topico
1,2
1,11
1,7
2,5
2,8
3,3
4,11
4,16
4,9
5,11
6,12
6,9
6,7
7,16
7,8
8,10
8,2
9,16
10,17
11,8
11,13
11,15
12,5
12,15
12,4
13,11
14,11
15,7
15,17
16,18
17,11
17,14
17,2
18,13
18,9
18,1
19,15
20,9
20,15
21,16
21,13
22,9
22,17
23,3
24,14
24,8
25,17
25,2
25,10
26,16
26,17
26,11
27,13
28,11
29,4
30,9
30,16
30,15
31,10
31,7
31,14
32,9
32,16
32,13
33,10
33,2
33,3
34,9
34,11
34,8
35,4
35,12
36,4
36,6
36,10
37,4
37,2
38,8
38,6
39,11
39,9
39,3
40,4
41,8
41,3
42,8
42,6
43,11
43,13
43,5
44,10
44,6
44,8
45,5
46,4
46,10
46,13
47,7
47,3
47,1
48,10
48,5
49,18
49,3
49,15
50,11
51,4
51,18
52,13
52,17
52,4
53,14
54,11
54,14
55,11
56,8
57,13
57,18
58,9
58,12
59,6
59,15
59,8
60,9
60,18
60,16
61,13
62,8
62,3
62,4
63,10
64,10
64,9
65,5
65,4
66,17
67,18
67,12
68,17
68,10
69,16
69,13
69,17
70,13
71,18
71,17
72,6
72,8
73,10
74,11
75,6
76,6
77,15
77,7
78,7
79,1
79,13
79,8
80,7
80,16
81,1
81,13
81,7
82,7
82,11
82,14
83,15
83,6
84,14
85,14
86,3
87,8
87,3
88,10
89,11
89,18
89,1
90,1
90,7
91,1
91,13
92,7
92,6
92,5
93,14
93,1
93,3
94,1
94,9
95,4
95,15
96,1
96,7
96,12
97,18
98,4
98,15
98,7
99,14
99,9
100,16
101,1
101,3
102,17
103,18
104,8
104,16
104,13
105,6
105,16
105,3
106,11
106,14
107,1
107,18
108,4
108,11
109,14
109,5
109,17
110,6
111,6
111,7
111,15
112,11
112,15
113,6
113,10
113,5
114,6
114,8
114,3
115,13
115,8
115,9
116,10
117,9
118,10
118,3
118,4
119,6
119,11
120,17
120,7
120,18
121,6
121,10
122,8
122,7
123,3
123,14
123,9
124,6
124,13
125,9
125,2
126,10
127,13
127,9
127,7
128,6
129,17
130,6
130,2
130,9
131,15
132,17
133,13
134,10
134,15
134,1
135,10
135,16
135,15
136,13
136,16
136,7
137,4
138,3
139,8
140,14
140,12
140,6
141,13
141,12
141,8
142,18
143,5
143,2
144,15
144,7
144,11
145,12
145,2
145,15
146,3
147,9
147,18
148,3
148,13
149,1
150,9
151,18
151,13
151,1
152,12
153,3
153,5
154,15
154,7
155,6
155,13
155,11
156,14
156,5
157,18
157,6
158,11
158,1
159,13
159,11
159,10
160,13
161,11
161,1
162,1
162,4
162,6
163,18
164,16
164,11
165,12
166,13
166,12
166,9
167,9
167,1
167,18
168,18
168,16
169,17
169,2
169,6
170,6
171,11
171,10
172,14
173,16
173,6
174,15
174,11
174,7
175,16
176,11
176,13
177,3
177,2
177,14
178,11
179,5
179,13
180,18
180,1
180,4
181,3
181,18
181,2
182,10
183,13
184,4
185,8
185,2
185,1
186,3
186,5
186,14
187,1
187,11
188,2
189,7
190,4
191,11
192,12
193,6
193,16
193,13
194,1
194,12
195,4
196,2
197,5
197,17
198,6
199,7
200,8
201,13
202,4
202,3
202,16
203,10
204,13
205,3
206,10
206,8
206,17
207,7
207,13
207,4
208,17
208,2
209,9
209,1
210,13
211,17
212,13
212,10
212,11
213,8
213,6
213,16
214,6
214,16
215,5
216,17
216,16
217,8
217,3
217,10
218,10
219,2
219,3
220,5
220,12
221,12
221,4
221,3
222,8
222,12
223,1
223,7
224,18
225,12
226,5
227,16
228,12
228,16
229,1
229,13
230,10
230,2
231,18
231,4
232,15
233,2
233,11
233,4
234,15
234,7
235,18
235,3
235,1
236,3
237,5
237,11
238,5
239,11
240,1
240,8
241,2
241,11
241,16
242,9
243,18
244,2
245,14
245,3
245,2
246,7
246,18
247,8
248,5
249,13
249,14
249,2
